Date,Content,Video title,Video publish time,Duration,Views
2025-09-18,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-19,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-20,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-21,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-22,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-23,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-24,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-25,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-26,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-27,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-28,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-29,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-09-30,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-01,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-02,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-03,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-04,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-05,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-06,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-07,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,2
2025-10-08,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-09,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,3
2025-10-10,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,2
2025-10-11,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-12,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
2025-10-13,Fu7Z_ktybTU,Market Puzzle  Tesla vs Nvidia,"Oct 6, 2025",318,0
